title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Coming soon,Charlotte,NC,28203,0,3486,,775000,,2753,-1,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/248-W-Kingston-Ave-Charlotte-NC-28203/6220339_zpid/,18.5264869
Coming soon,Charlotte,NC,28203,0,3486,,775000,,2753,-1,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/248-W-Kingston-Ave-Charlotte-NC-28203/6220339_zpid/,18.5264869
Under Contract,Stanley,NC,28164,0,1000,,289900,,,-1,"None beds, None baths",https://www.zillow.com/homedetails/5161-Green-Rd-Stanley-NC-28164/2083316405_zpid/,24.15833333
Multi-family home for sale,Cramerton,NC,28032,260208,850,,259900,,1799,-1,"3 beds, None baths",https://www.zillow.com/homedetails/268A-8th-Ave-Cramerton-NC-28032/2088142441_zpid/,25.51058824
Multi-family home for sale,Cramerton,NC,28032,260208,850,,259900,,1799,-1,"3 beds, None baths",https://www.zillow.com/homedetails/268A-8th-Ave-Cramerton-NC-28032/2088142441_zpid/,25.51058824
title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
House for sale,Charlotte,NC,28202,399819,1850,,391000,,1351,10,"2 beds, 3.0 baths",https://www.zillow.com/homedetails/526-E-9th-St-Charlotte-NC-28202/54492708_zpid/,18.009864864864866
Coming soon,Charlotte,NC,28202,0,1300,,199900,,655,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/513-N-Graham-St-UNIT-3A-Charlotte-NC-28202/109978860_zpid/,12.814102564102564
Condo for sale,Charlotte,NC,28202,349829,1750,,354900,,1183,-1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/505-E-6th-St-UNIT-708-Charlotte-NC-28202/69571919_zpid/,16.65852380952381
Condo for sale,Charlotte,NC,28202,287512,1525,,289900,,747,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/210-N-Church-St-UNIT-1306-Charlotte-NC-28202/83955681_zpid/,15.711038251366121
Coming soon,Charlotte,NC,28203,277624,1550,,280000,,1002,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/815-Lexington-Ave-APT-C-Charlotte-NC-28203/6221872_zpid/,14.926021505376344
Coming soon,Charlotte,NC,28202,301545,1333,,249900,,809,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1101-W-1st-St-Charlotte-NC-28202/2103179894_zpid/,18.851275318829707
House for sale,Charlotte,NC,28202,399819,1850,,391000,,1351,10,"2 beds, 3.0 baths",https://www.zillow.com/homedetails/526-E-9th-St-Charlotte-NC-28202/54492708_zpid/,18.009864864864866
Coming soon,Charlotte,NC,28202,0,1300,,199900,,655,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/513-N-Graham-St-UNIT-3A-Charlotte-NC-28202/109978860_zpid/,12.814102564102564
Condo for sale,Charlotte,NC,28202,349829,1750,,354900,,1183,-1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/505-E-6th-St-UNIT-708-Charlotte-NC-28202/69571919_zpid/,16.65852380952381
Condo for sale,Charlotte,NC,28202,287512,1525,,289900,,747,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/210-N-Church-St-UNIT-1306-Charlotte-NC-28202/83955681_zpid/,15.711038251366121
Coming soon,Charlotte,NC,28203,277624,1550,,280000,,1002,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/815-Lexington-Ave-APT-C-Charlotte-NC-28203/6221872_zpid/,14.926021505376344
Coming soon,Charlotte,NC,28202,301545,1333,,249900,,809,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1101-W-1st-St-Charlotte-NC-28202/2103179894_zpid/,18.851275318829707
House for sale,Charlotte,NC,28202,399819,1850,,391000,,1351,10,"2 beds, 3.0 baths",https://www.zillow.com/homedetails/526-E-9th-St-Charlotte-NC-28202/54492708_zpid/,18.009864864864866
Coming soon,Charlotte,NC,28202,0,1300,,199900,,655,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/513-N-Graham-St-UNIT-3A-Charlotte-NC-28202/109978860_zpid/,12.814102564102564
Condo for sale,Charlotte,NC,28202,349829,1750,,354900,,1183,-1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/505-E-6th-St-UNIT-708-Charlotte-NC-28202/69571919_zpid/,16.65852380952381
