title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
House for sale,Washington,DC,20008,5708459,8950,,5900000,,9625,23,"5 beds, 8.0 baths",https://www.zillow.com/homedetails/2230-Massachusetts-Ave-NW-Washington-DC-20008/460500_zpid/,53.15138733705773
Townhouse for sale,Washington,DC,20001,883645,3000,,850000,,1544,2,"2 beds, 3.0 baths",https://www.zillow.com/homedetails/515-S-St-NW-Washington-DC-20001/409716_zpid/,24.545694444444443
Condo for sale,Washington,DC,20001,564543,2550,,569000,,856,1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/910-M-St-NW-APT-403-Washington-DC-20001/71739549_zpid/,18.449117647058824
Condo for sale,Washington,DC,20005,660138,2950,,525000,,1156,3,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1212-M-St-NW-APT-100-Washington-DC-20005/61618125_zpid/,18.647966101694916
Condo for sale,Washington,DC,20024,438757,2000,,429000,,746,0,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/350-G-St-SW-APT-N305-Washington-DC-20024/63891046_zpid/,18.281541666666666
Townhouse for sale,Washington,DC,20007,1829214,5995,,1860000,,1622,65,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/3069-Canal-St-NW-Washington-DC-20007/428209_zpid/,25.42693911592994
Foreclosure,Clinton,MD,20735,482223,2300,,412000,,3972,65,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/8601-Shorthills-Ct-Clinton-MD-20735/37431532_zpid/,17.471847826086957
Townhouse for sale,District Heights,MD,20747,271771,2000,,249900,,1080,1,"2 beds, 4.0 baths",https://www.zillow.com/homedetails/6064-S-Hil-Mar-Cir-District-Heights-MD-20747/37381762_zpid/,11.323791666666667
Townhouse for sale,Clinton,MD,20735,303870,2200,,270000,,1384,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/7704-Lucky-Lure-Dr-Clinton-MD-20735/37435472_zpid/,11.510227272727272
House for sale,Morningside,MD,20746,126575,2000,,120000,,1008,38,"4 beds, 3.0 baths",https://www.zillow.com/homedetails/6710-Pine-Grove-Dr-Morningside-MD-20746/37393648_zpid/,5.273958333333334
House for sale,Upper Marlboro,MD,20772,314232,1900,,379900,,2053,3,"4 beds, 3.0 baths",https://www.zillow.com/homedetails/7906-Rosaryville-Rd-Upper-Marlboro-MD-20772/37506801_zpid/,13.782105263157895
House for sale,Suitland,MD,20746,246071,2250,,239000,,1226,145,"4 beds, 3.0 baths",https://www.zillow.com/homedetails/4306-John-St-Suitland-MD-20746/37384243_zpid/,9.113740740740742
Condo for sale,District Heights,MD,20747,100206,1500,,80000,,886,1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/7246-Donnell-Pl-APT-D4-District-Heights-MD-20747/37390059_zpid/,5.567
House for sale,Riverdale,MD,20737,375049,2150,,524950,,1710,1,"4 beds, 2.0 baths",https://www.zillow.com/homedetails/4812-Longfellow-St-Riverdale-MD-20737/37541833_zpid/,14.536782945736434
House for sale,Washington,DC,20018,610524,2008,,775000,,3443,1,"9 beds, 4.0 baths",https://www.zillow.com/homedetails/2913-20th-St-NE-Washington-DC-20018/503432_zpid/,25.33715139442231
Under Contract,Hyattsville,MD,20782,395343,2100,,385000,,2066,5,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/5411-19th-Ave-Hyattsville-MD-20782/37525032_zpid/,15.688214285714286
Condo for sale,Hyattsville,MD,20781,179211,1600,,170000,,967,1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/3837-Hamilton-St-J-103-Hyattsville-MD-20781/37516795_zpid/,9.33390625
House for sale,Capitol Heights,MD,20743,333520,2100,,329000,,2256,65,"4 beds, 3.0 baths",https://www.zillow.com/homedetails/4706-Mann-St-Capitol-Heights-MD-20743/37536690_zpid/,13.234920634920634
House for sale,Washington,DC,20018,0,2115,,949900,,3282,7,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/3701-S-Dakota-Ave-NE-Washington-DC-20018/503597_zpid/,37.427107959022855
Under Contract,Triangle,VA,22172,343198,1795,,389000,,1777,8,"4 beds, 2.0 baths",https://www.zillow.com/homedetails/18906-White-Oak-Dr-Triangle-VA-22172/12446428_zpid/,15.9330547818013
House for sale,Triangle,VA,22172,644025,2300,,630000,,5194,5,"5 beds, 5.0 baths",https://www.zillow.com/homedetails/3240-Riverview-Dr-Triangle-VA-22172/12446622_zpid/,23.33423913043478
Under Contract,Triangle,VA,22172,513558,2550,,500000,,2530,2,"4 beds, 3.0 baths",https://www.zillow.com/homedetails/18599-Quantico-Gateway-Dr-Triangle-VA-22172/110242853_zpid/,16.782941176470587
Under Contract,Triangle,VA,22172,399903,2800,,468000,,3520,49,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/18508-Tralee-Ln-Triangle-VA-22172/237963543_zpid/,11.901875
Lot / Land for sale,Triangle,VA,22172,0,3100,,46900,,,65,"None beds, None baths",https://www.zillow.com/homedetails/3153-Oakmont-Ave-Triangle-VA-22172/237988303_zpid/,1.260752688172043
Foreclosure,Triangle,VA,22172,0,3100,,45900,,,156,"None beds, None baths",https://www.zillow.com/homedetails/3157-Oakmont-Ave-Triangle-VA-22172/237988301_zpid/,1.2338709677419355
